uf,sigla,regiao,pop_2022,pop_2025_est,var_pct_2010_2022,var_abs_2010_2022
São Paulo,SP,Sudeste,44411238,46081801,7.63,3149039
Minas Gerais,MG,Sudeste,20539989,21393441,4.81,942659
Rio de Janeiro,RJ,Sudeste,16055174,17223547,0.41,65245
Bahia,BA,Nordeste,14141626,14870907,0.89,124720
Paraná,PR,Sul,11444380,11890517,9.57,999854
Rio Grande do Sul,RS,Sul,10882965,11233263,1.77,189036
Pernambuco,PE,Nordeste,9058931,9562007,2.98,262483
Ceará,CE,Nordeste,8794957,9268836,4.05,342576
Pará,PA,Norte,8120131,8711196,7.11,539080
Santa Catarina,SC,Sul,7610361,8187029,21.80,1361925
Goiás,GO,Centro-Oeste,7056495,7423629,17.53,1052707
Maranhão,MA,Nordeste,6776699,7018211,3.07,201910
Amazonas,AM,Norte,3941613,4321616,13.14,457628
Paraíba,PB,Nordeste,3974687,4164468,5.53,208159
Espírito Santo,ES,Sudeste,3833712,4126854,9.07,318760
Mato Grosso,MT,Centro-Oeste,3658649,3893659,20.54,623527
Rio Grande do Norte,RN,Nordeste,3302729,3455236,4.25,134702
Piauí,PI,Nordeste,3271199,3384547,4.90,152839
Alagoas,AL,Nordeste,3127683,3220848,0.23,7189
Distrito Federal,DF,Centro-Oeste,2817381,2996899,9.62,247221
Mato Grosso do Sul,MS,Centro-Oeste,2757013,2924631,12.58,307989
Sergipe,SE,Nordeste,2210004,2299425,6.87,141987
Rondônia,RO,Norte,1581196,1751950,1.20,18787
Tocantins,TO,Norte,1511460,1586859,9.25,128015
Acre,AC,Norte,830018,884372,13.15,96459
Amapá,AP,Norte,733759,806517,9.59,64233
Roraima,RR,Norte,636707,738772,41.34,186228
